C,Mn,Si,Cr,Ni,Mo,Log_Tau_Ferrite,Log_Tau_Pearlite,Log_Tau_Bainite
0.358,1.175,0.96,3.496,1.544,0.614,0.716,2.35,6.992
1.312,0.269,1.07,2.301,4.619,4.774,2.624,0.538,4.602
0.21,0.774,0.676,4.433,0.075,1.93,0.42,1.548,8.866
1.027,0.343,1.147,0.484,2.291,1.737,2.054,0.686,0.968
0.292,1.441,1.286,3.26,2.309,2.633,0.584,2.882,6.52
0.536,0.235,1.18,1.15,3.56,4.456,1.072,0.47,2.3
0.646,0.873,1.112,1.239,4.596,4.103,1.292,1.746,2.478
0.969,0.321,1.428,3.296,4.727,4.186,1.938,0.642,6.592
1.437,0.146,0.757,1.26,0.487,1.293,2.874,0.292,2.52
0.411,1.271,0.914,0.873,3.458,4.789,0.822,2.542,1.746
1.265,1.051,0.39,4.399,2.629,2.033,2.53,2.102,8.798
1.125,0.392,0.99,2.607,1.569,1.247,2.25,0.784,5.214
0.108,1.06,0.182,4.107,1.709,1.818,0.216,2.12,8.214
1.492,1.41,1.105,0.944,1.773,2.005,2.984,2.82,1.888
1.415,1.314,1.418,3.294,2.886,3.647,2.83,2.628,6.588
1.098,0.71,0.113,2.738,4.418,3.274,2.196,1.42,5.476
0.223,1.214,0.923,3.413,2.381,4.476,0.446,2.428,6.826
0.774,1.465,0.9,1.875,2.235,0.711,1.548,2.93,3.75
1.299,1.227,0.743,4.378,1.657,0.776,2.598,2.454,8.756
1.411,1.308,0.717,3.018,0.607,4.602,2.822,2.616,6.036
1.211,1.429,0.136,1.409,3.401,3.757,2.422,2.858,2.818
0.775,0.746,0.833,0.838,0.083,3.186,1.55,1.492,1.676
0.527,0.331,1.049,4.579,3.84,2.127,1.054,0.662,9.158
1.157,1.057,1.436,3.753,1.484,0.179,2.314,2.114,7.506
1.351,0.157,1.457,4.342,0.155,3.443,2.702,0.314,8.684
0.187,0.565,0.594,4.651,1.513,0.255,0.374,1.13,9.302
1.139,1.003,0.719,4.273,4.383,0.218,2.278,2.006,8.546
0.381,0.704,0.77,3.662,2.785,3.085,0.762,1.408,7.324
0.469,0.677,0.959,4.482,4.309,1.302,0.938,1.354,8.964
0.348,1.095,0.422,2.331,4.322,1.894,0.696,2.19,4.662
0.652,0.467,0.884,3.981,1.017,0.168,1.304,0.934,7.962
0.263,0.775,0.364,0.787,3.087,3.794,0.526,1.55,1.574
1.478,1.362,0.123,2.576,1.918,0.892,2.956,2.724,5.152
0.27,1.467,0.371,2.761,4.586,1.398,0.54,2.934,5.522
0.178,0.157,1.273,1.594,1.666,2.337,0.356,0.314,3.188
1.361,0.323,0.112,3.718,3.532,3.268,2.722,0.646,7.436
0.623,0.637,0.223,2.418,4.687,2.759,1.246,1.274,4.836
0.514,1.169,0.244,4.315,2.028,4.697,1.028,2.338,8.63
1.302,1.033,0.841,1.367,3.076,0.841,2.604,2.066,2.734
0.523,1.36,0.76,2.735,2.871,1.725,1.046,2.72,5.47
0.544,0.565,0.679,4.085,1.517,3.912,1.088,1.13,8.17
0.671,0.291,0.308,0.823,2.484,4.041,1.342,0.582,1.646
1.082,0.386,0.321,2.981,0.315,1.888,2.164,0.772,5.962
1.145,0.951,1.14,1.259,3.768,4.81,2.29,1.902,2.518
0.375,1.082,0.115,3.871,0.918,0.66,0.75,2.164,7.742
0.791,0.621,1.02,1.978,4.027,3.588,1.582,1.242,3.956
0.53,1.352,0.26,1.26,3.709,4.207,1.06,2.704,2.52
1.01,1.14,0.363,2.289,2.7,3.512,2.02,2.28,4.578
0.534,0.401,1.465,1.269,3.391,1.673,1.068,0.802,2.538
1.062,0.584,1.071,0.588,2.866,4.188,2.124,1.168,1.176
0.306,0.138,0.244,2.333,1.309,3.031,0.612,0.276,4.666
1.255,0.491,1.195,4.535,1.668,1.786,2.51,0.982,9.07
0.105,0.362,0.481,4.119,4.238,0.379,0.21,0.724,8.238
1.329,1.339,0.811,1.266,2.785,2.305,2.658,2.678,2.532
1.138,1.437,0.402,1.101,2.141,4.679,2.276,2.874,2.202
0.121,0.781,0.692,2.888,0.492,1.577,0.242,1.562,5.776
1.168,0.369,1.412,4.276,0.439,1.617,2.336,0.738,8.552
0.589,1.066,1.068,3.127,3.337,1.195,1.178,2.132,6.254
1.124,0.753,0.852,2.876,0.845,3.585,2.248,1.506,5.752
0.977,1.27,1.108,4.702,2.734,4.881,1.954,2.54,9.404
1.269,0.191,1.223,4.11,3.97,2.65,2.538,0.382,8.22
1.375,1.113,0.442,0.256,4.438,2.48,2.75,2.226,0.512
0.322,0.407,0.547,4.259,0.175,1.775,0.644,0.814,8.518
0.587,0.19,0.317,3.402,3.814,4.505,1.174,0.38,6.804
1.283,0.645,1.303,0.877,1.781,1.318,2.566,1.29,1.754
0.473,1.237,0.651,0.738,0.092,1.438,0.946,2.474,1.476
0.861,0.338,0.544,4.442,2.396,2.425,1.722,0.676,8.884
0.425,0.577,1.033,1.091,3.569,1.514,0.85,1.154,2.182
1.258,1.203,0.175,1.464,3.666,2.925,2.516,2.406,2.928
0.178,0.777,0.185,0.631,1.943,3.294,0.356,1.554,1.262
0.762,0.504,1.085,0.705,1.327,4.318,1.524,1.008,1.41
0.901,1.134,0.649,4.226,1.617,1.614,1.802,2.268,8.452
0.2,1.48,0.785,0.023,4.307,4.827,0.4,2.96,0.046
0.441,0.173,1.391,3.311,3.013,0.873,0.882,0.346,6.622
0.922,0.537,0.472,3.795,2.521,0.506,1.844,1.074,7.59
0.321,1.413,1.054,1.253,0.182,1.488,0.642,2.826,2.506
1.028,1.053,1.499,4.491,4.302,3.239,2.056,2.106,8.982
1.488,0.525,0.752,3.645,3.124,3.377,2.976,1.05,7.29
0.323,0.741,0.575,4.328,0.921,0.263,0.646,1.482,8.656
0.175,0.366,0.533,4.61,2.306,1.896,0.35,0.732,9.22
0.708,1.401,0.974,1.801,3.038,0.4,1.416,2.802,3.602
1.224,0.945,1.064,2.53,0.714,3.828,2.448,1.89,5.06
1.421,0.718,0.638,2.011,1.36,4.918,2.842,1.436,4.022
0.681,0.46,0.734,3.475,1.979,1.643,1.362,0.92,6.95
0.199,1.105,1.358,2.586,4.078,3.538,0.398,2.21,5.172
0.413,0.167,0.594,2.556,0.096,1.141,0.826,0.334,5.112
1.023,0.756,0.806,3.263,2.831,2.977,2.046,1.512,6.526
1.468,1.049,0.786,1.583,3.411,4.504,2.936,2.098,3.166
1.292,1.175,0.309,1.354,1.011,4.17,2.584,2.35,2.708
0.307,0.326,0.358,4.7,3.713,1.733,0.614,0.652,9.4
0.732,0.822,1.474,0.098,0.811,4.61,1.464,1.644,0.196
1.404,0.155,0.877,0.699,1.382,2.768,2.808,0.31,1.398
0.801,0.654,0.107,3.54,4.017,1.706,1.602,1.308,7.08
0.915,0.231,1.266,1.665,3.005,3.393,1.83,0.462,3.33
1.116,1.241,0.723,0.704,2.293,2.431,2.232,2.482,1.408
0.104,0.21,0.643,3.687,2.303,2.342,0.208,0.42,7.374
0.775,0.35,0.629,1.999,0.091,3.44,1.55,0.7,3.998
0.356,1.296,1.18,2.947,4.1,2.12,0.712,2.592,5.894
0.423,0.608,0.79,1.708,1.361,0.92,0.846,1.216,3.416
1.153,1.341,0.484,3.614,4.901,3.448,2.306,2.682,7.228
0.485,0.302,1.1,2.988,1.854,1.032,0.97,0.604,5.976
1.024,1.01,0.2,4.925,1.737,1.5,2.048,2.02,9.85
1.48,0.287,1.343,3.184,0.43,1.244,2.96,0.574,6.368
0.705,0.535,0.905,2.199,0.238,1.135,1.41,1.07,4.398
0.882,0.908,1.089,1.647,3.972,4.893,1.764,1.816,3.294
0.499,0.343,0.872,0.305,4.311,4.97,0.998,0.686,0.61
0.607,0.582,0.424,0.408,2.493,3.249,1.214,1.164,0.816
0.764,1.177,1.262,1.82,2.319,3.82,1.528,2.354,3.64
1.252,1.339,0.292,2.086,2.64,3.403,2.504,2.678,4.172
1.316,0.957,1.063,2.726,0.665,2.127,2.632,1.914,5.452
1.246,1.457,1.056,3.941,0.309,2.281,2.492,2.914,7.882
1.491,0.218,1.452,0.213,2.925,3.792,2.982,0.436,0.426
1.262,0.545,1.083,1.506,0.23,2.437,2.524,1.09,3.012
0.472,0.384,0.435,1.704,0.873,2.376,0.944,0.768,3.408
1.273,1.225,0.775,0.2,2.367,2.74,2.546,2.45,0.4
0.347,1.372,1.004,2.655,4.223,2.981,0.694,2.744,5.31
0.984,1.369,1.162,2.657,1.198,1.764,1.968,2.738,5.314
1.309,0.497,0.276,1.025,0.215,1.902,2.618,0.994,2.05
1.204,0.442,0.388,1.164,2.045,2.101,2.408,0.884,2.328
0.298,0.333,0.212,2.862,1.959,3.476,0.596,0.666,5.724
0.117,0.115,0.804,2.322,4.85,1.244,0.234,0.23,4.644
0.688,0.162,0.729,2.305,3.545,4.032,1.376,0.324,4.61
1.159,1.201,0.63,4.215,2.415,0.262,2.318,2.402,8.43
0.146,1.196,1.014,3.216,0.492,3.727,0.292,2.392,6.432
0.843,1.229,0.999,3.202,3.762,3.705,1.686,2.458,6.404
0.41,1.378,0.338,4.058,1.583,0.372,0.82,2.756,8.116
0.483,0.966,1.26,1.81,1.308,1.984,0.966,1.932,3.62
0.507,0.151,0.411,4.936,3.451,0.85,1.014,0.302,9.872
0.256,0.409,0.932,3.047,0.961,3.995,0.512,0.818,6.094
1.319,1.128,0.659,3.612,4.541,2.11,2.638,2.256,7.224
1.366,0.581,1.354,1.971,4.142,3.349,2.732,1.162,3.942
0.823,0.146,0.854,3.831,3.603,1.445,1.646,0.292,7.662
1.274,0.186,0.32,2.54,2.742,3.195,2.548,0.372,5.08
0.57,1.319,0.786,0.942,0.739,0.731,1.14,2.638,1.884
1.382,1.363,0.547,3.251,1.355,0.918,2.764,2.726,6.502
1.128,0.982,0.231,0.244,1.349,2.177,2.256,1.964,0.488
1.14,0.538,1.451,1.269,2.185,4.898,2.28,1.076,2.538
0.15,0.387,1.307,4.377,2.067,3.892,0.3,0.774,8.754
1.276,0.281,0.536,4.184,4.955,4.702,2.552,0.562,8.368
0.432,0.572,0.896,4.903,0.025,0.695,0.864,1.144,9.806
0.375,1.234,0.394,3.849,0.5,3.436,0.75,2.468,7.698
0.922,0.79,1.084,1.262,3.106,4.971,1.844,1.58,2.524
0.491,0.865,0.214,0.671,3.022,0.519,0.982,1.73,1.342
1.053,1.118,0.855,3.827,2.559,2.798,2.106,2.236,7.654
0.607,0.606,1.166,1.301,4.091,4.355,1.214,1.212,2.602
0.348,0.884,0.235,1.599,0.044,4.388,0.696,1.768,3.198
0.877,0.116,0.642,2.094,2.119,0.499,1.754,0.232,4.188
1.467,1.382,0.61,2.508,3.788,3.958,2.934,2.764,5.016
1.324,0.606,0.744,1.33,4.601,1.018,2.648,1.212,2.66
1.152,1.035,0.354,4.582,2.969,4.292,2.304,2.07,9.164
0.998,0.336,0.739,0.282,1.703,1.064,1.996,0.672,0.564
0.737,0.393,1.382,2.123,4.131,3.455,1.474,0.786,4.246
1.189,1.17,0.584,4.881,0.343,3.077,2.378,2.34,9.762
0.665,1.157,0.654,3.894,4.655,1.991,1.33,2.314,7.788
1.22,1.381,1.261,0.078,4.756,1.014,2.44,2.762,0.156
0.516,1.394,1.483,3.195,2.366,2.838,1.032,2.788,6.39
0.479,0.623,0.81,3.805,2.008,1.309,0.958,1.246,7.61
0.359,1.424,0.806,1.964,4.983,1.516,0.718,2.848,3.928
1.45,0.48,0.228,3.725,3.468,2.632,2.9,0.96,7.45
0.186,1.128,1.285,1.335,4.453,1.41,0.372,2.256,2.67
1.044,0.454,0.669,3.746,3.347,0.713,2.088,0.908,7.492
0.399,1.384,1.478,0.186,2.208,0.416,0.798,2.768,0.372
1.36,0.341,0.35,0.163,0.208,1.854,2.72,0.682,0.326
0.37,1.139,0.728,4.379,4.456,3.229,0.74,2.278,8.758
1.041,0.43,1.364,0.441,3.235,0.715,2.082,0.86,0.882
1.128,1.219,0.256,0.838,2.877,2.13,2.256,2.438,1.676
1.129,0.241,1.365,2.64,3.435,2.545,2.258,0.482,5.28
1.293,0.527,0.883,0.106,1.085,0.674,2.586,1.054,0.212
1.387,0.989,1.381,2.279,4.606,4.258,2.774,1.978,4.558
0.533,1.177,0.605,1.597,2.616,3.97,1.066,2.354,3.194
0.148,0.371,0.554,1.775,1.25,3.277,0.296,0.742,3.55
0.245,1.421,0.277,0.726,2.416,1.519,0.49,2.842,1.452
1.194,0.617,0.762,3.864,0.442,1.308,2.388,1.234,7.728
1.49,1.257,0.373,3.153,1.025,1.119,2.98,2.514,6.306
0.868,0.51,0.581,1.074,1.611,3.5,1.736,1.02,2.148
0.635,0.374,1.102,1.334,2.902,0.506,1.27,0.748,2.668
1.294,0.716,0.381,3.858,1.703,4.716,2.588,1.432,7.716
0.758,0.659,1.011,2.462,4.636,4.998,1.516,1.318,4.924
0.705,0.235,0.939,2.876,2.958,3.633,1.41,0.47,5.752
0.499,0.823,1.012,2.173,4.487,4.342,0.998,1.646,4.346
0.787,0.618,0.331,0.561,2.731,3.87,1.574,1.236,1.122
1.179,1.143,0.455,4.894,3.853,3.883,2.358,2.286,9.788
1.043,0.913,0.115,2.013,3.942,0.153,2.086,1.826,4.026
0.613,1.477,1.133,3.226,3.285,0.832,1.226,2.954,6.452
1.371,0.372,0.628,2.538,4.382,3.96,2.742,0.744,5.076
0.431,0.272,0.547,4.709,3.978,0.174,0.862,0.544,9.418
0.822,0.145,1.349,3.178,0.174,0.3,1.644,0.29,6.356
1.446,0.452,0.932,2.208,4.807,4.735,2.892,0.904,4.416
0.479,1.421,0.824,1.407,2.322,1.248,0.958,2.842,2.814
0.653,0.49,0.623,0.743,2.745,3.524,1.306,0.98,1.486
0.996,1.411,0.434,3.212,0.553,4.485,1.992,2.822,6.424
1.19,1.323,0.727,4.234,4.073,0.329,2.38,2.646,8.468
0.976,1.236,0.646,2.712,1.327,1.167,1.952,2.472,5.424
0.324,1.127,0.37,3.452,1.12,1.263,0.648,2.254,6.904
1.416,1.234,1.452,3.933,1.67,2.631,2.832,2.468,7.866
0.677,0.505,1.386,1.336,3.343,4.161,1.354,1.01,2.672
0.842,0.882,0.379,4.214,2.21,3.934,1.684,1.764,8.428
0.373,1.426,0.916,4.582,3.302,0.093,0.746,2.852,9.164
1.455,0.877,0.522,4.89,3.002,4.588,2.91,1.754,9.78
0.427,1.022,0.444,3.295,3.921,4.449,0.854,2.044,6.59
0.132,0.374,0.567,3.27,2.338,3.958,0.264,0.748,6.54
0.319,0.166,1.005,1.547,3.516,3.095,0.638,0.332,3.094
0.344,0.611,1.037,2.122,4.736,1.013,0.688,1.222,4.244
0.922,1.194,1.173,1.0,1.88,0.39,1.844,2.388,2.0
0.819,0.711,0.564,4.121,4.324,2.306,1.638,1.422,8.242
1.413,0.381,0.28,0.655,2.947,3.801,2.826,0.762,1.31
0.901,0.22,0.97,1.761,3.548,2.564,1.802,0.44,3.522
1.154,0.457,1.433,2.346,2.383,4.326,2.308,0.914,4.692
0.794,0.152,1.119,4.164,4.275,2.169,1.588,0.304,8.328
0.794,1.106,0.946,4.004,2.841,4.922,1.588,2.212,8.008
1.352,1.204,1.189,3.303,2.685,1.324,2.704,2.408,6.606
0.324,0.623,0.576,2.109,3.202,0.076,0.648,1.246,4.218
0.337,0.326,0.81,0.621,1.862,1.571,0.674,0.652,1.242
0.281,1.084,1.022,4.729,3.408,4.416,0.562,2.168,9.458
1.427,0.142,0.758,3.695,3.651,2.477,2.854,0.284,7.39
1.081,0.861,1.43,4.363,3.052,0.292,2.162,1.722,8.726
0.902,1.351,0.52,4.61,0.205,3.044,1.804,2.702,9.22
0.344,0.607,1.416,2.766,2.87,4.108,0.688,1.214,5.532
0.24,0.164,1.354,2.837,2.278,2.525,0.48,0.328,5.674
0.207,1.417,1.478,2.728,1.582,2.583,0.414,2.834,5.456
0.507,0.347,0.897,3.912,1.967,2.926,1.014,0.694,7.824
0.375,1.198,0.727,4.799,2.846,3.524,0.75,2.396,9.598
0.366,1.406,0.111,4.66,0.059,4.895,0.732,2.812,9.32
1.332,1.274,1.01,1.462,0.513,2.052,2.664,2.548,2.924
0.731,0.595,0.583,0.738,2.74,3.196,1.462,1.19,1.476
0.518,0.303,0.506,1.361,3.041,3.656,1.036,0.606,2.722
0.543,0.142,0.864,1.852,3.576,1.845,1.086,0.284,3.704
1.377,0.584,1.435,1.289,4.694,0.292,2.754,1.168,2.578
0.15,1.089,0.139,1.817,3.154,1.502,0.3,2.178,3.634
1.313,0.636,0.336,0.47,3.835,3.044,2.626,1.272,0.94
1.354,0.956,0.208,0.05,1.83,4.894,2.708,1.912,0.1
0.929,0.473,0.539,3.852,0.594,2.543,1.858,0.946,7.704
0.522,0.307,0.997,0.827,1.145,1.691,1.044,0.614,1.654
1.103,0.362,0.485,1.191,3.156,1.703,2.206,0.724,2.382
0.809,0.633,0.304,1.548,3.957,1.753,1.618,1.266,3.096
1.12,1.493,0.95,1.436,4.258,2.812,2.24,2.986,2.872
0.146,0.926,0.918,2.161,3.231,1.82,0.292,1.852,4.322
1.462,1.138,1.436,0.435,3.176,0.984,2.924,2.276,0.87
0.658,0.621,0.314,1.515,2.813,3.094,1.316,1.242,3.03
0.466,0.439,1.098,3.889,3.003,2.159,0.932,0.878,7.778
1.332,0.802,0.683,0.16,4.082,2.98,2.664,1.604,0.32
1.023,0.967,0.722,3.003,1.93,2.359,2.046,1.934,6.006
0.224,1.211,0.332,0.125,1.625,3.71,0.448,2.422,0.25
1.034,0.602,1.257,0.467,3.455,4.666,2.068,1.204,0.934
0.959,0.601,1.25,2.077,1.94,4.033,1.918,1.202,4.154
1.294,0.209,1.275,0.874,2.86,2.14,2.588,0.418,1.748
0.949,1.453,0.153,1.874,4.306,3.905,1.898,2.906,3.748
0.864,1.363,0.178,2.787,4.93,2.176,1.728,2.726,5.574
1.291,0.158,1.092,0.421,0.207,4.943,2.582,0.316,0.842
0.479,0.515,1.405,3.063,4.553,0.557,0.958,1.03,6.126
0.149,0.537,1.23,0.596,2.673,2.764,0.298,1.074,1.192
1.231,1.332,1.067,4.806,2.718,1.346,2.462,2.664,9.612
1.135,1.425,0.511,3.816,2.829,0.165,2.27,2.85,7.632
0.187,0.384,1.092,0.342,1.934,4.42,0.374,0.768,0.684
0.418,1.253,1.029,4.709,2.144,4.796,0.836,2.506,9.418
0.328,1.055,0.441,1.285,0.845,0.394,0.656,2.11,2.57
1.06,1.315,1.241,4.456,3.972,1.765,2.12,2.63,8.912
0.417,0.232,0.999,1.115,0.768,2.024,0.834,0.464,2.23
1.02,1.368,1.147,3.733,1.329,1.091,2.04,2.736,7.466
1.127,0.391,0.162,0.287,4.374,4.054,2.254,0.782,0.574
0.242,1.448,1.06,1.325,4.275,4.053,0.484,2.896,2.65
0.768,1.19,1.396,3.058,0.264,3.734,1.536,2.38,6.116
0.825,0.225,0.122,2.215,2.848,1.613,1.65,0.45,4.43
0.479,1.068,1.067,2.597,1.483,1.774,0.958,2.136,5.194
0.947,0.8,0.149,0.807,1.579,3.889,1.894,1.6,1.614
0.527,0.273,1.109,1.491,4.597,0.872,1.054,0.546,2.982
0.43,0.503,0.368,2.391,4.977,2.521,0.86,1.006,4.782
0.535,0.678,0.27,1.55,2.67,3.308,1.07,1.356,3.1
1.189,0.611,0.732,4.679,4.291,4.548,2.378,1.222,9.358
1.276,0.546,0.442,0.843,0.137,2.899,2.552,1.092,1.686
1.31,1.295,1.425,0.52,0.767,2.049,2.62,2.59,1.04
1.05,0.546,1.091,2.315,1.018,2.201,2.1,1.092,4.63
1.191,0.761,0.521,0.654,1.928,4.541,2.382,1.522,1.308
1.138,0.748,0.998,3.864,4.777,0.665,2.276,1.496,7.728
0.329,0.165,0.27,4.166,2.521,0.25,0.658,0.33,8.332
0.995,0.79,0.134,3.008,3.645,2.491,1.99,1.58,6.016
0.951,0.663,1.471,3.958,1.386,0.342,1.902,1.326,7.916
1.18,0.605,0.805,0.335,2.571,3.617,2.36,1.21,0.67
0.114,0.53,1.309,1.355,3.003,3.797,0.228,1.06,2.71
0.54,0.911,1.109,2.691,0.602,4.812,1.08,1.822,5.382
1.289,0.798,0.452,2.728,0.906,4.104,2.578,1.596,5.456
0.774,0.302,1.024,0.833,3.597,4.547,1.548,0.604,1.666
0.693,0.143,0.538,0.386,1.012,2.126,1.386,0.286,0.772
1.029,1.416,1.19,4.525,1.203,0.971,2.058,2.832,9.05
1.499,1.373,1.443,4.536,1.935,1.82,2.998,2.746,9.072
0.171,0.144,0.717,1.778,0.372,0.693,0.342,0.288,3.556
0.728,0.832,0.148,4.476,4.759,4.042,1.456,1.664,8.952
1.048,1.205,0.52,4.854,4.192,2.298,2.096,2.41,9.708
0.861,1.217,1.346,0.105,3.394,1.509,1.722,2.434,0.21
0.431,1.444,1.065,3.006,4.32,3.18,0.862,2.888,6.012
0.295,1.062,0.449,4.721,2.711,1.279,0.59,2.124,9.442
0.617,0.742,0.101,3.057,4.954,4.482,1.234,1.484,6.114
1.042,0.118,0.782,1.444,1.295,0.334,2.084,0.236,2.888
0.367,0.698,0.466,2.76,4.24,2.596,0.734,1.396,5.52
0.138,0.76,0.85,3.095,4.232,1.377,0.276,1.52,6.19
1.311,1.23,1.2,3.402,0.794,1.177,2.622,2.46,6.804
1.159,0.819,0.424,0.352,1.026,3.606,2.318,1.638,0.704
0.566,0.164,1.299,1.02,3.278,3.122,1.132,0.328,2.04
0.532,1.473,1.037,3.183,1.863,0.285,1.064,2.946,6.366
0.297,1.321,0.325,4.798,1.706,4.483,0.594,2.642,9.596
1.216,0.625,1.066,1.389,2.634,4.197,2.432,1.25,2.778
0.535,1.301,0.895,3.29,4.374,0.29,1.07,2.602,6.58
0.843,1.089,0.367,4.93,2.274,2.354,1.686,2.178,9.86
0.822,1.162,1.086,1.462,3.88,3.15,1.644,2.324,2.924
1.429,0.725,0.305,0.042,4.111,2.253,2.858,1.45,0.084
1.469,0.947,0.679,0.425,3.596,1.348,2.938,1.894,0.85
0.233,1.436,0.94,0.284,0.328,1.366,0.466,2.872,0.568
1.198,0.104,1.279,3.801,3.403,3.887,2.396,0.208,7.602
1.227,0.665,0.968,1.951,2.406,0.38,2.454,1.33,3.902
0.173,0.488,0.137,1.036,4.163,3.38,0.346,0.976,2.072
0.526,0.364,1.474,3.327,2.92,3.045,1.052,0.728,6.654
0.229,0.583,1.209,3.276,1.215,0.326,0.458,1.166,6.552
0.866,1.278,0.264,1.526,4.179,3.188,1.732,2.556,3.052
0.571,1.241,1.337,0.867,4.038,0.751,1.142,2.482,1.734
1.374,1.473,0.422,0.821,0.147,1.093,2.748,2.946,1.642
0.943,1.494,1.219,3.358,3.925,3.97,1.886,2.988,6.716
0.619,1.213,0.716,1.377,0.003,1.24,1.238,2.426,2.754
1.238,0.954,0.211,0.723,1.617,2.008,2.476,1.908,1.446
0.484,0.643,1.148,0.659,0.363,3.584,0.968,1.286,1.318
1.126,0.341,0.226,3.974,2.412,0.715,2.252,0.682,7.948
0.619,1.024,0.351,2.721,2.18,0.009,1.238,2.048,5.442
0.774,1.097,0.378,1.341,0.319,2.87,1.548,2.194,2.682
0.617,1.183,0.861,3.61,4.987,0.415,1.234,2.366,7.22
0.435,0.911,1.257,2.296,3.456,4.278,0.87,1.822,4.592
0.438,0.931,0.168,1.519,2.374,4.09,0.876,1.862,3.038
0.283,1.326,0.866,2.133,0.553,0.528,0.566,2.652,4.266
0.582,1.427,1.288,3.778,3.928,4.915,1.164,2.854,7.556
0.705,0.569,1.308,3.177,2.859,1.733,1.41,1.138,6.354
1.041,0.321,0.913,1.29,4.141,4.344,2.082,0.642,2.58
0.629,1.331,0.7,2.966,0.986,3.376,1.258,2.662,5.932
0.463,0.104,0.608,1.334,4.189,2.206,0.926,0.208,2.668
0.157,1.449,1.054,3.729,0.357,4.201,0.314,2.898,7.458
0.184,0.931,0.367,0.977,2.986,2.394,0.368,1.862,1.954
0.13,0.409,0.993,2.631,0.109,1.074,0.26,0.818,5.262
1.193,0.771,0.257,3.623,1.2,2.898,2.386,1.542,7.246
0.551,1.396,1.241,2.14,0.001,2.686,1.102,2.792,4.28
0.613,0.5,1.325,0.381,1.125,4.071,1.226,1.0,0.762
0.541,1.36,1.207,1.085,1.205,3.504,1.082,2.72,2.17
0.888,1.141,0.641,4.128,0.481,0.841,1.776,2.282,8.256
0.36,1.039,0.144,1.714,2.825,0.841,0.72,2.078,3.428
1.059,0.477,1.186,2.207,4.668,2.392,2.118,0.954,4.414
1.282,0.576,0.859,1.529,2.504,2.289,2.564,1.152,3.058
0.242,1.057,1.003,3.21,1.451,1.888,0.484,2.114,6.42
1.21,0.867,0.412,2.405,2.924,4.006,2.42,1.734,4.81
0.504,0.801,1.01,0.026,1.763,0.488,1.008,1.602,0.052
1.175,1.174,0.495,3.698,2.393,4.143,2.35,2.348,7.396
1.204,0.609,1.123,0.648,0.437,1.403,2.408,1.218,1.296
0.922,1.442,0.106,4.399,4.939,0.036,1.844,2.884,8.798
0.265,0.452,0.386,2.023,0.139,4.112,0.53,0.904,4.046
0.463,0.98,0.42,3.793,0.807,0.91,0.926,1.96,7.586
1.037,1.182,0.27,1.359,1.81,4.431,2.074,2.364,2.718
0.821,0.243,0.55,1.749,0.621,1.344,1.642,0.486,3.498
0.273,0.851,1.44,1.895,3.986,2.241,0.546,1.702,3.79
0.489,1.457,1.247,1.606,2.287,1.336,0.978,2.914,3.212
0.708,0.317,0.662,3.742,4.762,3.243,1.416,0.634,7.484
0.95,1.406,0.687,1.295,4.761,3.05,1.9,2.812,2.59
1.041,0.982,1.273,2.781,4.251,2.77,2.082,1.964,5.562
1.225,0.471,0.447,4.073,0.039,2.151,2.45,0.942,8.146
1.29,0.151,1.396,3.854,3.427,3.024,2.58,0.302,7.708
0.805,0.803,0.499,1.447,0.841,2.447,1.61,1.606,2.894
0.932,0.854,0.73,1.927,3.944,3.882,1.864,1.708,3.854
1.375,0.914,0.134,3.678,1.697,3.066,2.75,1.828,7.356
1.156,0.401,0.682,3.929,2.415,1.356,2.312,0.802,7.858
1.033,0.214,0.247,1.958,1.449,2.584,2.066,0.428,3.916
0.174,1.266,1.288,3.875,1.877,1.544,0.348,2.532,7.75
1.255,0.351,0.188,1.094,4.074,2.318,2.51,0.702,2.188
0.541,0.96,0.54,0.605,4.263,2.272,1.082,1.92,1.21
0.182,1.469,0.632,2.525,0.394,4.673,0.364,2.938,5.05
0.86,0.52,0.311,4.951,0.156,4.979,1.72,1.04,9.902
0.579,0.549,1.099,4.126,3.462,1.717,1.158,1.098,8.252
0.258,1.219,0.145,3.35,0.846,4.355,0.516,2.438,6.7
0.955,0.849,0.583,0.08,1.825,1.748,1.91,1.698,0.16
0.833,1.343,1.066,3.986,4.948,3.527,1.666,2.686,7.972
0.186,0.225,1.216,4.982,3.224,4.384,0.372,0.45,9.964
0.176,0.117,1.321,3.385,1.919,1.708,0.352,0.234,6.77
0.845,0.718,1.409,1.536,0.555,0.45,1.69,1.436,3.072
0.263,1.194,0.777,4.133,3.543,3.074,0.526,2.388,8.266
1.092,0.584,0.455,4.219,3.064,0.11,2.184,1.168,8.438
1.36,0.604,0.713,0.889,2.307,3.373,2.72,1.208,1.778
0.754,0.456,0.985,0.598,0.874,2.417,1.508,0.912,1.196
1.076,0.522,1.22,0.019,2.538,0.771,2.152,1.044,0.038
1.117,1.148,0.854,4.562,1.003,1.908,2.234,2.296,9.124
0.633,0.706,1.347,2.676,2.598,0.205,1.266,1.412,5.352
0.451,0.738,1.393,4.069,2.129,4.15,0.902,1.476,8.138
1.444,0.754,0.735,1.713,0.012,3.771,2.888,1.508,3.426
0.524,0.57,0.492,1.083,1.45,1.752,1.048,1.14,2.166
1.268,0.892,1.056,2.845,1.549,1.194,2.536,1.784,5.69
